Reference Designation,Item,Cost,Count,Total Cost ,Package,Value,Manufacturer,Part Number,Link,Notes
"R1,R3,R4,R5,R6,R7,R8",Resistor 220 Ohm,0.1,7,0.7,5mm,220,Stackpole,RNMF14FTC220R,,
R10,Resistor 3.9k,0.1,1,0.1,5mm,3.9k,Stackpole,RNMF14FTC3K90,,CV to Audio
R10,Resistor 10k,0.1,1,0.1,5mm,10k,Stackpole,RNMF14FTC10K0,,CV to Audio
R2,Resistor 100k,0.1,1,0.1,5mm,100k,Stackpole,RNMF14FTC100K,,
R9,Potentiometer 10k,0.83,1,0.83,6mm,10k,Bourns,PTV09A-4020F-B103,,
R11,Resistor 1k,0.22,1,0.22,6mm,1k / 0.1uF,KEMET,RNMF14FTC1K00,,CV to Audio
S1,Tactile Switch,0.35,1,0.35,6mm,B3F-1000,Omron,B3F-1000,,
C1,Capacitor 4700pF,0.27,1,0.27,5mm,4700pF,KEMET,C315C472K1R5TA,,
C2,Electrolytic Cap 47uF,0.17,1,0.17,12.5mm,47uF,KEMET,ESH476M025AC3AA,,
C3 ,Electrolytic Cap 1uF,0.17,1,0.17,12.5mm,1uF,KEMET,ESH105M050AC3AA,,CV to Audio (Jumper)
"C4, R11",Capacitor 0.1uF,0.22,2,0.44,5mm,0.1uF,KEMET,C320C104K5R5TA,,CV to Audio
555,555 Timer IC,0.8,1,0.8,,555,Texas Instruments,LM555CN/NOPB,,
555,8 Pin Socket,0.16,1,0.16,,,Assmann WSW,A 08-LC-TT,,
"X1,X2",3.5mm Stereo Jack,0.74,2,1.48,3.5mm,STEREOJACK,CUI Inc,SJ1-3523N,,
MIDI,MIDI 5 pin DIN,1.02,1,1.02,DIN-5,MIDIJACK,CUI Inc,SDS-50J,,
"LED1,LED6",Red 5mm LED,0.44,2,0.88,5mm,Red,LIte-On,LTL2H3KEK,,
LED2,Yellow 5mm LED,0.52,1,0.52,5mm,Yellow,LIte-On,LTL2R3KSK,,
LED3,Green 5mm LED,0.4,1,0.4,5mm,Green,LIte-On,LTL2P3KGKNN,,
LED4,Blue 5mm LED,1.05,1,1.05,5mm,Blue,LIte-On,LTL2T3TBK5,,
LED5,White 5mm LED,0.54,1,0.54,5mm,White,LIte-On,LTW-2S3D8,,
,Arduino Uno,25,1,25,,,,,,Optional Uno
,Breadboard,5,1,5,,,,,,
,Circuit Board,10,1,10,,,OSHpark,,,BdS Arduino Shield
,Knob,0.25,1,0.25,,6mm D-shaft,,,,
,Electrode Leads,2,1,2,,,,,https://www.amazon.com/Electrode-Digital-Device-Tens-Machine/dp/B00P67RMGC?th=1,
,Electrode Pads,1.5,3,4.5,,3 Pair,,,https://www.amazon.com/TENS-Electrodes-Premium-Quality-Discount/dp/B01BLYJEPK/ref=sr_1_3_s_it?s=hpc&ie=UTF8&qid=1483232549&sr=1-3&keywords=tens+pads+snap,10 pairs @ $15
